N,algorithm,runs,time_s,gflops,cycles,instructions,cache_references,cache_misses,branches,branch_misses,ipc,cache_miss_rate_pct,branch_miss_rate_pct
3072,blocked_64,3,6.733583,8.61088,26285327513,54677652441,183883407,43614632,9614332537,7283325,2.080159,23.718634,0.075755
3072,ikj,3,12.019367,4.824117,38848458160,44322843291,3725860998,3068949661,7393138797,9545789,1.140916,82.368872,0.129117
3072,recursive_64,3,7.12066,8.14282,27753553964,57630539431,303795701,40896142,10376016433,13014308,2.07651,13.461725,0.125427
