N,degree,algorithm,runs,time_per_run_s,ns_per_edge,cycles,instructions,cache_references,cache_misses,branches,branch_misses,ipc,cache_miss_rate_pct,branch_miss_rate_pct
1048576,8,csr,3,0.186353,22.222467,2556521566,1781805073,125086182,56645408,296384377,5446643,0.696965,45.285104,1.837696
1048576,8,csr_reordered,3,0.043319,5.165763,1674090915,2020768219,116691500,47044764,338043001,7062320,1.207084,40.315502,2.089178
