N,degree,algorithm,runs,time_per_run_s,ns_per_edge,cycles,instructions,cache_references,cache_misses,branches,branch_misses,ipc,cache_miss_rate_pct,branch_miss_rate_pct
1048576,8,csr,3,0.065241,7.779903,1643079239,1910613211,173779204,42926877,320854587,5343795,1.162825,24.701964,1.665488
1048576,8,csr_reordered,3,0.017955,2.14114,1199089235,2180018242,86239996,20329074,365889282,6267069,1.818062,23.572675,1.712832
