N,load_factor,query_type,algorithm,runs,time_s,ns_per_query,cycles,instructions,cache_references,cache_misses,branches,branch_misses,ipc,cache_miss_rate_pct,branch_miss_rate_pct
1048576,0.95,miss,chaining,3,0.157217,31.443433,1041424241,821776069,40974423,14493142,139418391,4786143,0.789089,35.371192,3.432935
1048576,0.95,miss,linear,3,0.977944,195.589,4014517521,9622022441,174680883,4134195,2104302481,5932047,2.396807,2.366713,0.281901
1048576,0.95,miss,robin_hood,3,0.236839,47.367733,1371277015,1315853877,155231490,8899126,290978573,10118819,0.959583,5.73281,3.477513
