N,algorithm,runs,time_s,ns_per_query,cycles,instructions,cache_references,cache_misses,branches,branch_misses,ipc,cache_miss_rate_pct,branch_miss_rate_pct
1048576,binary,3,1.655463,331.092,3410855431,1454840259,432256766,206941873,336759522,52991501,0.426532,47.874756,15.73571
1048576,bst,3,1.933443,386.689,4131086801,1510823409,264824742,107443573,335436569,3003731,0.365721,40.571577,0.895469
1048576,eytzinger,3,0.80212,160.424,1718015934,1192267442,65222923,20414525,255728303,2773427,0.693979,31.299617,1.084521
1048576,eytzinger_prefetch,3,0.631736,126.347,1374419644,1855473486,85123801,25486330,355895020,2832257,1.350005,29.94031,0.795812
